DATE,VALUE,LOGVALUE
10/3/08,1129.46,3.052870855
10/10/08,969.44,2.986520935
10/17/08,959.24,2.98192728
10/24/08,924.42,2.965869333
10/31/08,928.47,2.967767876
11/7/08,952.14,2.978700811
11/14/08,891.01,2.949882578
11/21/08,813.78,2.910507012
11/28/08,873.28,2.941153514
12/5/08,851.41,2.930138747
12/12/08,890.19,2.949482711
12/19/08,891.87,2.950301556
12/26/08,868.94,2.93898979
1/2/09,898.78,2.9536534
1/9/09,913.78,2.960841648
1/16/09,855.71,2.932326607
1/23/09,826.23,2.91710096
1/30/09,845.48,2.927103339
2/6/09,842.13,2.925379139
2/13/09,838.56,2.923534142
2/20/09,781.65,2.893012332
2/27/09,753.86,2.8772907
3/6/09,695.19,2.842103516
3/13/09,724.96,2.860314045
3/20/09,775.79,2.889744177
3/27/09,818.34,2.91293378
4/3/09,814.67,2.910981724
4/10/09,833.19,2.920744049
4/17/09,857.44,2.93320374
4/24/09,848.83,2.92882072
5/1/09,867.33,2.938184368
5/8/09,913.44,2.960680026
5/15/09,895.49,2.95206074
5/22/09,899.33,2.953919081
5/29/09,907.34,2.957770057
6/5/09,940.38,2.973303384
6/12/09,942.36,2.974216843
6/19/09,917.2,2.962464046
6/26/09,905.65,2.956960391
7/3/09,916.58,2.962170377
7/10/09,884.22,2.946560334
7/17/09,924.14,2.965737768
7/24/09,963.07,2.983657855
7/31/09,982.24,2.992217616
8/7/09,1003.71,3.001608251
8/14/09,1004.82,3.002088271
8/21/09,999.87,2.999943538
8/28/09,1028.32,3.012128283
9/4/09,1006.61,3.002861241
9/11/09,1036.41,3.015531595
9/18/09,1060.9,3.025674449
9/25/09,1058.47,3.024678553
10/2/09,1047.15,3.020008897
10/9/09,1057.95,3.024465143
10/16/09,1085.13,3.03548177
10/23/09,1088.58,3.036860351
10/30/09,1055.06,3.023277158
11/6/09,1054.14,3.022898293
11/13/09,1093.06,3.038644002
11/20/09,1103.14,3.042630632
11/27/09,1103.5,3.042772337
12/4/09,1103.93,3.042941536
12/11/09,1099.98,3.041384789
12/18/09,1105.95,3.043735493
12/25/09,1119.79,3.049136585
1/1/10,1123.88,3.050719943
1/8/10,1138.66,3.056394065
1/15/10,1142.67,3.057920825
1/22/10,1124.13,3.050816538
1/29/10,1088.97,3.037015916
2/5/10,1083.82,3.034957161
2/12/10,1069.87,3.02933101
2/19/10,1102.58,3.04241011
2/26/10,1103.06,3.042599136
3/5/10,1122.9,3.050341082
3/12/10,1144.96,3.058790315
3/19/10,1160.38,3.064600235
3/26/10,1168,3.067442843
4/2/10,1173.51,3.069486795
4/9/10,1188.03,3.074827408
4/16/10,1201.65,3.079777991
4/23/10,1207.32,3.081822395
4/30/10,1196.12,3.077774752
5/7/10,1156.16,3.06301794
5/14/10,1156.06,3.062980375
5/21/10,1106.41,3.043916092
5/28/10,1081.62,3.034074709
6/4/10,1084.2,3.035109403
6/11/10,1069.32,3.02910769
6/18/10,1110.6,3.045557669
6/25/10,1090.2,3.037506178
7/2/10,1039.29,3.016736749
7/9/10,1059.14,3.02495337
7/16/10,1086.12,3.035877811
7/23/10,1084.13,3.035081362
7/30/10,1107.62,3.044390789
8/6/10,1124.2,3.050843581
8/13/10,1100.24,3.04148743
8/20/10,1082.68,3.034500114
8/27/10,1057.27,3.024185909
9/3/10,1074.63,3.03125896
9/10/10,1101.11,3.041830707
9/17/10,1123.66,3.050634921
9/24/10,1138.05,3.056161343
10/1/10,1144.41,3.058581644
10/8/10,1156.19,3.063029209
10/15/10,1172.64,3.069164704
10/22/10,1178.42,3.071300105
10/29/10,1184.15,3.073406719
11/5/10,1204.56,3.080828437
11/12/10,1213.62,3.084082725
11/19/10,1190.22,3.075627244
11/26/10,1191.58,3.076123205
12/3/10,1204.12,3.08066977
12/10/10,1229.71,3.089802705
12/17/10,1240.81,3.093705285
12/24/10,1254.32,3.098408347
12/31/10,1258.27,3.099773842
1/7/11,1272.8,3.104760167
1/14/11,1281.44,3.107698276
1/21/11,1285.14,3.108950441
1/28/11,1290.91,3.110895965
2/4/11,1303.14,3.114991076
2/11/11,1323.1,3.121592669
2/18/11,1336.02,3.12581296
2/25/11,1312.21,3.118003343
3/4/11,1318.82,3.120185525
3/11/11,1310.27,3.117360798
3/18/11,1277.61,3.106398302
3/25/11,1302.63,3.114821076
4/1/11,1323.23,3.121635339
4/8/11,1332.54,3.124680254
4/15/11,1317.45,3.119734142
4/22/11,1321.38,3.121027729
4/29/11,1352.45,3.131121218
5/6/11,1348.09,3.129718887
5/13/11,1346.39,3.129170877
5/20/11,1335.2,3.125546324
5/27/11,1322.18,3.121290584
6/3/11,1318.21,3.119984602
6/10/11,1282.13,3.107932062
6/17/11,1272.85,3.104777227
6/24/11,1282.59,3.10808785
7/1/11,1308.9,3.116906468
7/8/11,1343.53,3.128247368
7/15/11,1315.17,3.118981894
7/22/11,1329.37,3.123645874
7/29/11,1313.44,3.118410238
8/5/11,1240.16,3.09347772
8/12/11,1152.84,3.061769037
8/19/11,1171.06,3.068579147
8/26/11,1159.97,3.064446757
9/2/11,1204.06,3.080648129
9/9/11,1176,3.070407322
9/16/11,1189.79,3.075470314
9/23/11,1167.79,3.067364752
9/30/11,1156.24,3.06304799
10/7/11,1137.53,3.055962859
10/14/11,1205.18,3.081051916
10/21/11,1217.95,3.08562946
10/28/11,1258.98,3.100018831
11/4/11,1244.77,3.095089113
11/11/11,1253.94,3.098276756
11/18/11,1235.66,3.091898988
11/25/11,1175.37,3.070174602
12/2/11,1224.71,3.088033264
12/9/11,1253.22,3.098027317
12/16/11,1221.89,3.087032111
12/23/11,1241.94,3.094100615
12/30/11,1258.92,3.099998133
1/6/12,1278.31,3.106636186
1/13/12,1289.97,3.11057961
1/20/12,1307.9,3.11657454
1/27/12,1318.29,3.120010958
2/3/12,1323.99,3.121884705
2/10/12,1347.19,3.12942885
2/17/12,1352.95,3.131281747
2/24/12,1362.27,3.134263193
3/2/12,1369.83,3.136666673
3/9/12,1359.42,3.133353655
3/16/12,1393.62,3.14414437
3/23/12,1401.61,3.146627187
3/30/12,1409.26,3.148991125
4/6/12,1407.37,3.148408289
4/13/12,1373.47,3.137819178
4/20/12,1380.19,3.139938876
4/27/12,1386.59,3.141948064
5/4/12,1393.34,3.144057105
5/11/12,1359.85,3.133491006
5/18/12,1318.78,3.120172352
5/25/12,1318,3.11991541
6/1/12,1308.53,3.116783684
6/8/12,1303.89,3.115240955
6/15/12,1323.99,3.121884705
6/22/12,1343.8,3.128334637
6/29/12,1331.35,3.124292243
7/6/12,1365.45,3.135275802
7/13/12,1345.38,3.128844967
7/20/12,1365.85,3.135403007
7/27/12,1354.54,3.131791834
8/3/12,1379.15,3.139611504
8/10/12,1401.29,3.146528023
8/17/12,1409.45,3.149049674
8/24/12,1411.6,3.14971165
8/31/12,1407.26,3.148374343
9/7/12,1419.61,3.15216905
9/14/12,1444.99,3.159864842
9/21/12,1460.39,3.16446885
9/28/12,1443.92,3.159543132
10/5/12,1452.71,3.162178926
10/12/12,1438.27,3.157840422
10/19/12,1449.3,3.161158292
10/26/12,1416.12,3.151100056
11/2/12,1417.98,3.151670105
11/9/12,1399.51,3.145976006
11/16/12,1364.65,3.13502128
11/23/12,1393.72,3.144175532
11/30/12,1409.46,3.149052755
12/7/12,1411.56,3.149699343
12/14/12,1421.58,3.152771305
12/21/12,1437.36,3.157565555
12/28/12,1416.76,3.151296287
1/4/13,1453.61,3.162447902
1/11/13,1464.85,3.165793155
1/18/13,1476.51,3.169236393
1/25/13,1496.29,3.175015773
2/1/13,1504.25,3.17732002
2/8/13,1509.29,3.178772695
2/15/13,1519.59,3.181726427
2/22/13,1515.23,3.18047856
3/1/13,1506.73,3.178035435
3/8/13,1540.38,3.187627871
3/15/13,1557.43,3.192408536
3/22/13,1552.37,3.190995241
3/29/13,1561.88,3.193647664
4/5/13,1559.87,3.193088406
4/12/13,1580.33,3.198747785
4/19/13,1555.16,3.191775077
4/26/13,1577.49,3.197966615
5/3/13,1597.18,3.203353863
5/10/13,1627.3,3.211467624
5/17/13,1652.17,3.218054732
5/24/13,1658.18,3.219631673
5/31/13,1648.39,3.217059971
6/7/13,1629.33,3.212009054
6/14/13,1628.91,3.211897089
6/21/13,1620.08,3.209536461
6/28/13,1596.77,3.203242365
7/5/13,1619.09,3.20927099
7/12/13,1660.12,3.220139482
7/19/13,1684.23,3.226401399
7/26/13,1691.15,3.22818213
8/2/13,1694.71,3.229095392
8/9/13,1696.86,3.229646012
8/16/13,1677.23,3.224592622
8/23/13,1652.33,3.218096788
8/30/13,1638.67,3.214491503
9/6/13,1650.78,3.217689199
9/13/13,1683.25,3.226148623
9/20/13,1712.03,3.233511371
9/27/13,1696.49,3.229551304
10/4/13,1687.92,3.227351859
10/11/13,1676.75,3.224468315
10/18/13,1721.48,3.235901981
10/25/13,1751.51,3.243412621
11/1/13,1763.11,3.246279409
11/8/13,1763.83,3.246456725
11/15/13,1782.08,3.250927196
11/22/13,1792.28,3.253405859
11/29/13,1804.57,3.256373733
12/6/13,1795.8,3.254257967
12/13/13,1788.81,3.252564214
12/20/13,1801.22,3.255566761
12/27/13,1836.18,3.263915253
1/3/14,1838.2,3.264392762
1/10/14,1836.53,3.263998027
1/17/14,1838.21,3.264395124
1/24/14,1826.85,3.26170289
1/31/14,1785.01,3.251640653
2/7/14,1763.84,3.246459187
2/14/14,1821.46,3.260419638
2/21/14,1836.39,3.263964919
2/28/14,1850.33,3.26724919
3/7/14,1869.7,3.271771928
3/14/14,1860.09,3.269533958
3/21/14,1866.08,3.270930258
3/28/14,1856.46,3.268685596
4/4/14,1880.52,3.274277957
4/11/14,1843.59,3.265664344
4/18/14,1850.19,3.267216329
4/25/14,1873.77,3.272716281
5/2/14,1879.31,3.273998425
5/9/14,1876.94,3.27345039
5/16/14,1886.27,3.275603858
5/23/14,1887.79,3.275953681
5/30/14,1916.32,3.282468032
6/6/14,1933.4,3.286321714
6/13/14,1942.44,3.288347613
6/20/14,1951.82,3.290439764
6/27/14,1958.06,3.291825996
7/4/14,1973.4,3.295215124
7/11/14,1969.29,3.294309676
7/18/14,1973.66,3.295272339
7/25/14,1982.1,3.297125562
8/1/14,1954.95,3.291135654
8/8/14,1924.12,3.284232154
8/15/14,1945.53,3.289037932
8/22/14,1984.12,3.297567935
8/29/14,1999.63,3.300949644
9/5/14,2002.09,3.301483596
9/12/14,1993.73,3.299666344
9/19/14,2001.29,3.301310025
9/26/14,1984.84,3.297725504
10/3/14,1962.06,3.292712284
10/10/14,1940.63,3.287942741
10/17/14,1872.89,3.272512271
